keys,_notes,en,zh_Hans
Add a repeat tag in the selected text. Repeats the content inside the tag a specified number of times.,Editor -> Dialogue Panel -> Text Edit,Add a repeat tag in the selected text. Repeats the content inside the tag a specified number of times.,为所选文本添加 repeat 标签。将标签内的内容重复指定次数。
"The file/s contains unsaved changes. 
Are you sure you want to close this file/s?",Editor -> Dialogue Panel -> Confirmation Dialog,"The file/s contains unsaved changes. 
Are you sure you want to close this file/s?","文件包含未保存的更改。
确定要关闭这些文件吗？"
Discard,Editor -> Dialogue Panel -> Confirmation Dialog,Discard,放弃
"[center][wave]Create or open a [color=orange]character[/color] to start!
[center]\( ^-^)/

",Editor -> Character Panel -> Start Panel,"[center][wave]Create or open a [color=orange]character[/color] to start!
[center]\( ^-^)/

","[center][wave]创建或打开一个[color=orange]角色[/color]来开始！
[center]\( ^-^)/

"
New Character,Editor -> Character Panel -> Start Panel,New Character,新建角色
Open Character,Editor -> Character Panel -> Start Panel,Open Character,打开角色
The character key name to reference it is the filename.,Editor -> Character Panel -> Editor Panel,The character key name to reference it is the filename.,角色的引用键名为文件名
Display Name,Editor -> Character Panel -> Editor Panel,Display Name,显示名称
The name that will be displayed for this character.,Editor -> Character Panel -> Editor Panel,The name that will be displayed for this character.,此角色在游戏中的显示名称。
Insert character name...,Editor -> Character Panel -> Editor Panel,Insert character name...,输入角色名称...
Description,Editor -> Character Panel -> Editor Panel,Description,描述
Character description (optional)...,Editor -> Character Panel -> Editor Panel,Character description (optional)...,角色描述（可选）...
It does nothing. It is for your reference only.,Editor -> Character Panel -> Editor Panel,It does nothing. It is for your reference only.,无实际功能，仅供参考。
Dialog Box Settings,Editor -> Character Panel -> Editor Panel,Dialog Box Settings,对话框设置
Dialog Box,Editor -> Character Panel -> Editor Panel,Dialog Box,对话框
"Scene with the dialog box where the text will be displayed.
The root of the scene must be a node inherited from the DialogBox class.",Editor -> Character Panel -> Editor Panel,"Scene with the dialog box where the text will be displayed.
The root of the scene must be a node inherited from the DialogBox class.","显示文本的对话框的场景。
场景的根节点必须是继承自DialogBox类的节点。"
Select a scene...,Editor -> Character Panel -> Editor Panel,Select a scene...,选择场景...
Create a new scene,Editor -> Character Panel -> Editor Panel,Create a new scene,创建新场景
New Dialog Box Scene,Editor -> Character Panel -> File Dialog,New Dialog Box Scene,新建对话框场景
Portrait on dialog box,Editor -> Character Panel -> Editor Panel,Portrait on dialog box,对话框中的头像
"Select this option to display the portrait inside the dialog box. 
You need to assign a node in 'Dialog Box Components > Portrait Display'
property from the DialogBox to use it as a parent to display the portrait.",Editor -> Character Panel -> Editor Panel,"Select this option to display the portrait inside the dialog box.
You need to assign a node in 'Dialog Box Components > Portrait Display' property from the DialogBox to use it as a parent to display the portrait.","选择此选项将在对话框内显示头像。
你需要在DialogBox的“Dialog Box Components > Portrait Display”属性中分配一个节点，作为显示头像的父节点。"
Open the scene to edit,Editor -> Character Panel -> Editor Panel,Open the scene to edit,打开场景进行编辑
Portraits Settings,Editor -> Character Panel -> Editor Panel,Portraits Settings,头像设置
Default portrait,Editor -> Character Panel -> Editor Panel,Default portrait,默认头像
Default portrait to be used for the character when no portrait is selected.,Editor -> Character Panel -> Editor Panel,Default portrait to be used for the character when no portrait is selected.,当未选择头像时，角色使用的默认头像。
(no one),Editor -> Character Panel -> Editor Panel,(no one),(无)
Main Transform Settings,Editor -> Character Panel -> Editor Panel,Main Transform Settings,基础 Transform 设置
"Transform settings for all portraits.
You can override this for each portrait.",Editor -> Character Panel -> Editor Panel,"Transform settings for all portraits.
You can override this for each portrait.","所有头像的 Transform 设置。
你可以针对单个头像覆盖此设置。"
Portraits scale.,Editor -> Character Panel -> Editor Panel,Portraits scale.,头像缩放。
Portraits position offset.,Editor -> Character Panel -> Editor Panel,Portraits position offset.,头像位置偏移。
Portraits rotation in degrees.,Editor -> Character Panel -> Editor Panel,Portraits rotation in degrees.,头像旋转角度（度）。
Mirror,Editor -> Character Panel -> Editor Panel,Mirror,镜像
Flip the portraits horizontally.,Editor -> Character Panel -> Editor Panel,Flip the portraits horizontally.,水平翻转头像。
Portraits,Editor -> Character Panel -> Editor Panel,Portraits,头像
Search portraits...,Editor -> Character Panel -> Editor Panel,Search portraits...,搜索头像...
Add a new portrait,Editor -> Character Panel -> Editor Panel,Add a new portrait,添加新头像
Add a new portrait group,Editor -> Character Panel -> Editor Panel,Add a new portrait group,添加新头像组
Remove portrait,Editor -> Character Panel -> Editor Panel,Remove portrait,删除头像
No portrait selected.,Editor -> Character Panel -> Editor Panel,No portrait selected.,未选择头像。
Portrait Preview,Editor -> Character Panel -> Editor Panel,Portrait Preview,头像预览
Reload scene,Editor -> Character Panel -> Editor Panel,Reload scene,重新加载场景
Portrait Settings,Editor -> Character Panel -> Editor Panel,Portrait Settings,头像设置
New Portrait Scene,Editor -> Character Panel -> File Dialog,New Portrait Scene,新建头像场景
Transform Settings,Editor -> Character Panel -> Editor Panel,Transform Settings,Transform 设置
Ignore Main Transform,Editor -> Character Panel -> Editor Panel,Ignore Main Transform,忽略基础 Transform
"Ignore transform settings for all portraits
and apply only the transform settings of this portrait.",Editor -> Character Panel -> Editor Panel,"Ignore transform settings for all portraits
and apply only the transform settings of this portrait.","忽略基础 Transform 设置
仅应用此头像的 Transform 设置。"
Portrait scale.,Editor -> Character Panel -> Editor Panel,Portrait scale.,头像缩放。
Portrait position offset.,Editor -> Character Panel -> Editor Panel,Portrait position offset.,头像位置偏移。
Portrait rotation in degrees.,Editor -> Character Panel -> Editor Panel,Portrait rotation in degrees.,头像旋转角度（度）。
Add some variables!,Editor -> Variable Panel,Add some variables!,添加一些变量！
Search variables...,Editor -> Variable Panel,Search variables...,搜索变量...
Add a new variable,Editor -> Variable Panel,Add a new variable,添加新变量
Add a new group,Editor -> Variable Panel,Add a new group,添加新变量组
Save variables,Editor -> Variable Panel,Save variables,保存变量
Name,Editor -> Variable Panel,Name,名称
Type,Editor -> Variable Panel,Type,类型
Initial Value,Editor -> Variable Panel,Initial Value,初始值
Select variable type,Editor -> Variable Panel,Select variable type,选择变量类型
Unsaved changes,Editor -> Variable Panel,Unsaved changes,有未保存的更改
(No items in the group),Editor -> Variable Panel,(No items in the group),(空)
Write text here...,Editor -> Variable Panel,Write text here...,在这里输入文本...
Write a expression here...,Editor -> Variable Panel,Write a expression here...,在这里输入表达式...
"Are you sure you want to remove this group? 
All variables and groups inside will be removed.",Editor -> Variable Panel -> Confirmation Dialog,"Are you sure you want to remove this group? 
All variables and groups inside will be removed.","确定要移除此组吗？
组内的所有变量和子组都将被删除。"
Confirm,Editor -> Variable Panel -> Confirmation Dialog,Confirm,确认
Select a file...,Editor -> Settings Panel -> General Tab,Select a file...,选择文件...
Select a directory...,Editor -> Settings Panel -> General Tab,Select a directory...,选择目录...
Select a Directory,Editor -> Settings Panel -> File Dialog,Select a Directory,选择目录
General,Editor -> Settings Panel -> Tab Bar,General,常规
Text,Editor -> Settings Panel -> Tab Bar,Text,文本
Translation,Editor -> Settings Panel -> Tab Bar,Translation,翻译
Input,Editor -> Settings Panel -> General Panel,Input,输入
Continue input action,Editor -> Settings Panel -> General Panel,Continue input action,继续输入操作
Defaults,Editor -> Settings Panel -> General Panel,Defaults,默认
Default dialog box,Editor -> Settings Panel -> General Panel,Default dialog box,默认对话框
Default portrait scene,Editor -> Settings Panel -> General Panel,Default portrait scene,默认头像场景
Canvas Layers,Editor -> Settings Panel -> General Panel,Canvas Layers,Canvas 层
Dialog box canvas layer,Editor -> Settings Panel -> General Panel,Dialog box canvas layer,对话框 Canvas 层
Portrait canvas layer,Editor -> Settings Panel -> General Panel,Portrait canvas layer,头像 Canvas 层
Custom Event Nodes,Editor -> Settings Panel -> General Panel,Custom Event Nodes,自定义事件节点
Use custom event nodes,Editor -> Settings Panel -> General Panel,Use custom event nodes,使用自定义事件节点
Custom event nodes folder,Editor -> Settings Panel -> General Panel,Custom event nodes folder,自定义事件节点文件夹
Select a directory...,Editor -> Settings Panel -> General Panel -> Custom Event Nodes Folder,Select a directory...,选择目录...
Custom event interpreter,Editor -> Settings Panel -> General Panel,Custom event interpreter,自定义事件解释器
Select a file...,Editor -> Settings Panel -> General Panel -> Custom Event Interpreter,Select a file...,选择文件...
Input action...,Editor -> Settings Panel -> General Panel,Input action...,输入操作...
The input action that allows the dialog to continue.,Editor -> Settings Panel -> General Panel,The input action that allows the dialog to continue.,允许对话继续的输入操作。
"Default dialog box that will be displayed when no character is selected.
It will also be used as a template when creating a new dialog box for a character.

The root of the scene must be a node inherited from the DialogBox class.",Editor -> Settings Panel -> General Panel,"Default dialog box that will be displayed when no character is selected.
It will also be used as a template when creating a new dialog box for a character.

The root of the scene must be a node inherited from the DialogBox class.","当未选择角色时显示的默认对话框。
它也将作为创建角色新对话框的模板。

场景的根节点必须是继承自DialogBox类的节点。"
[color=tomato]Please select a valid scene file for the default portrait scene.,Editor -> Settings Panel -> General Panel,[color=tomato]Please select a valid scene file for the default portrait scene.,[color=tomato]请选择一个有效的场景文件作为默认头像场景。
"Default portrait scene that will be used as a template when creating a new portrait for a character.

The root of the scene must be a node inherited from the DialogPortrait class.",Editor -> Settings Panel -> General Panel,"Default portrait scene that will be used as a template when creating a new portrait for a character.

The root of the scene must be a node inherited from the DialogPortrait class.","创建角色头像时使用的默认头像场景模板。

场景的根节点必须是继承自DialogPortrait类的节点。"
"Layer index for the draw order of the canvas layer where dialog boxes will be displayed by default, 
if the dialog box parent is not overriden.",Editor -> Settings Panel -> General Panel,"Layer index for the draw order of the canvas layer where dialog boxes will be displayed by default, 
if the dialog box parent is not overriden.","默认对话框画布层的绘制顺序索引，
当未覆盖对话框父节点时生效。"
"Layer index for the draw order of the canvas layer where portraits will be displayed by default, 
if the portrait parent is not overriden.",Editor -> Settings Panel -> General Panel,"Layer index for the draw order of the canvas layer where portraits will be displayed by default, 
if the portrait parent is not overriden.","默认头像画布层的绘制顺序索引，
当未覆盖头像父节点时生效。"
Enable/disable the use of custom event nodes.,Editor -> Settings Panel -> General Panel,Enable/disable the use of custom event nodes.,启用/禁用自定义事件节点的使用。
Path to the directory where you have your custom event nodes (.tscn files).,Editor -> Settings Panel -> General Panel,Path to the directory where you have your custom event nodes (.tscn files).,自定义事件节点（.tscn 文件）所在的目录路径。
[color=tomato]Please select a valid directory for the custom event nodes.,Editor -> Settings Panel -> General Panel,[color=tomato]Please select a valid directory for the custom event nodes.,[color=tomato]请选择一个有效的目录来存放自定义事件节点。
[color=tomato]Please select a valid script (.gd) that extends the SproutyDialogsEventInterpreter class.,Editor -> Settings Panel -> General Panel,[color=tomato]Please select a valid script (.gd) that extends the SproutyDialogsEventInterpreter class.,
"Path to the custom event interpreter script file (.gd) 
that extends from the SproutyDialogsEventInterpreter class.
Where you define the process methods to run your custom event nodes.",Editor -> Settings Panel -> General Panel,"Path to the custom event interpreter script file (.gd) 
that extends from the SproutyDialogsEventInterpreter class.
Where you define the process methods to run your custom event nodes.","自定义事件解释器脚本文件（.gd）的路径，
该脚本必须继承自 SproutyDialogsEventInterpreter 类，
用于定义处理自定义事件节点的方法。"
Text Behavior,Editor -> Settings Panel -> Text Panel,Text Behavior,文本行为
Default typing speed,Editor -> Settings Panel -> Text Panel,Default typing speed,默认打字速度
Open URL on meta tag click,Editor -> Settings Panel -> Text Panel,Open URL on meta tag click,点击 meta 标签时打开 URL
Dialogue Display,Editor -> Settings Panel -> Text Panel,Dialogue Display,对话显示
New line as new dialog,Editor -> Settings Panel -> Text Panel,New line as new dialog,将换行视为新对话
Split dialog by max characters,Editor -> Settings Panel -> Text Panel,Split dialog by max characters,按最大字符数分割对话
Max characters,Editor -> Settings Panel -> Text Panel,Max characters,最大字符数
Skip Text Reveal,Editor -> Settings Panel -> Text Panel,Skip Text Reveal,跳过文本显示动画
Allow skip text reveal,Editor -> Settings Panel -> Text Panel,Allow skip text reveal,允许跳过文本显示动画
Can skip delay,Editor -> Settings Panel -> Text Panel,Can skip delay,允许跳过延迟
Skip continue delay,Editor -> Settings Panel -> Text Panel,Skip continue delay,跳过对话继续的延迟
"Time in seconds that the text takes to reveal each character. 
The higher the number, the longer it will take to reveal the next character.",Editor -> Settings Panel -> Text Panel,"Time in seconds that the text takes to reveal each character. 
The higher the number, the longer it will take to reveal the next character.","文本显示每个字符所需的时间（秒）。
数值越大，显示下一个字符所需的时间越长。"
"If enabled, opens a hyperlink in the browser when a URL tag is clicked during a dialog.
By default the URL tags are handled by 'meta_clicked' signal on RichTextLabels.
You can do the same with the 'meta_clicked' signal in a DialogBox to more advanced use cases.",Editor -> Settings Panel -> Text Panel,"If enabled, opens a hyperlink in the browser when a URL tag is clicked during a dialog.
By default the URL tags are handled by 'meta_clicked' signal on RichTextLabels.
You can do the same with the 'meta_clicked' signal in a DialogBox to more advanced use cases.","启用后，在对话中点击网址标签时将在浏览器中打开超链接。
默认情况下，网址标签由 RichTextLabel 的 'meta_clicked' 信号处理。
您也可以通过 DialogBox 的 'meta_clicked' 信号实现相同功能，以满足更高级的使用场景。"
"Line breaks will be considered paragraphs. Each paragraph is displayed as a new dialog (or block of text in the dialog box). Otherwise, the text is displayed all at once.",Editor -> Settings Panel -> Text Panel,"Line breaks will be considered paragraphs. Each paragraph is displayed as a new dialog (or block of text in the dialog box). Otherwise, the text is displayed all at once.",换行符将被视为段落分隔符。每个段落将显示为一段新对话（或对话框中的独立文本块）。否则，所有文本将一次性显示。
"The text is divided into paragraphs according to a character limit. Otherwise, it is displayed all at once.",Editor -> Settings Panel -> Text Panel,"The text is divided into paragraphs according to a character limit. Otherwise, it is displayed all at once.",文本将根据字符数限制自动分段，否则将一次性全部显示。
Maximum character limit. Only used if the dialogue is split by a character limit.,Editor -> Settings Panel -> Text Panel,Maximum character limit. Only used if the dialogue is split by a character limit.,最大字符数限制。仅在按字符数分割对话时生效。
Allows to skip text reveal and display everything at once.,Editor -> Settings Panel -> Text Panel,Allows to skip text reveal and display everything at once.,允许跳过文字显示动画，直接显示全部内容。
"Time in seconds during which the text cannot be skipped again. 
This is necessary to prevent the entire text from being skipped.",Editor -> Settings Panel -> Text Panel,"Time in seconds during which the text cannot be skipped again. 
This is necessary to prevent the entire text from being skipped.","两次跳过操作之间的最小间隔时间（秒）。
用于防止连续跳过导致整段文本被略过。"
Time in seconds during which you must wait for the dialogue to continue after skipping the text reveal.,Editor -> Settings Panel -> Text Panel,Time in seconds during which you must wait for the dialogue to continue after skipping the text reveal.,跳过文字显示动画后，等待对话继续的时间（秒）
Enable translations,Editor -> Settings Panel -> Translation Panel,Enable translations,启用翻译
Use CSV files,Editor -> Settings Panel -> Translation Panel,Use CSV files,使用 CSV 文件
[color=tomato]Please select a valid directory for the CSV files.,Editor -> Settings Panel -> Translation Panel,[color=tomato]Please select a valid directory for the CSV files.,[color=tomato]请选择一个有效的目录来存放 CSV 文件。
CSV translations folder,Editor -> Settings Panel -> Translation Panel,CSV translations folder,CSV 翻译文件夹
Fallback to resource,Editor -> Settings Panel -> Translation Panel,Fallback to resource,回退到资源
Translate character names,Editor -> Settings Panel -> Translation Panel,Translate character names,翻译角色名称
Use CSV for character names,Editor -> Settings Panel -> Translation Panel,Use CSV for character names,使用 CSV 文件翻译角色名称
[color=tomato]Please select a valid CSV file for character name translation [i](It must be inside the CSV file directory).,Editor -> Settings Panel -> Translation Panel,[color=tomato]Please select a valid CSV file for character name translation [i](It must be inside the CSV file directory).,[color=tomato]请为角色名称翻译选择一个有效的CSV文件来[i]（必须在CSV文件目录内）。
Character names CSV,Editor -> Settings Panel -> Translation Panel,Character names CSV,角色名称 CSV
Collect Translations,Editor -> Settings Panel -> Translation Panel,Collect Translations,收集翻译
Enable/disable translations for dialogues.,Editor -> Settings Panel -> Translation Panel,Enable/disable translations for dialogues.,启用/禁用对话翻译。
"Enable the use of CSV files for translations.
Otherwise, translations will be saved in the dialogue data file.",Editor -> Settings Panel -> Translation Panel,"Enable the use of CSV files for translations.
Otherwise, translations will be saved in the dialogue data file.","启用 CSV 文件进行翻译。
否则，翻译内容将保存在对话数据文件中。"
"Path to the directory of the CSV translation files.
This directory must contain all the CSV files used for the dialogs. 
(It is necessary to collect all translations in godot).",Editor -> Settings Panel -> Translation Panel,"Path to the directory of the CSV translation files.
This directory must contain all the CSV files used for the dialogs. 
(It is necessary to collect all translations in godot).","CSV 翻译文件所在的目录路径。
该目录必须包含对话所使用的所有CSV文件。
（这是 Godot 中收集所有翻译的必要条件。）"
"When a dialog key is not found in the CSV file, the dialog will be loaded from the dialogue data file.
(This only applies when opening a dialog file in the editor, not when running the dialog).",Editor -> Settings Panel -> Translation Panel,"When a dialog key is not found in the CSV file, the dialog will be loaded from the dialogue data file.
(This only applies when opening a dialog file in the editor, not when running the dialog).","当 CSV 文件中找不到指定的对话键时，将从对话数据文件中加载该对话。
（此规则仅适用于在编辑器中打开对话文件时，运行时无效。）"
Enable translation for the character names.,Editor -> Settings Panel -> Translation Panel,Enable translation for the character names.,"启用角色名称翻译。 "
"Enable the use of CSV files for character name translations.
Otherwise, translations will be saved in the character data file.",Editor -> Settings Panel -> Translation Panel,"Enable the use of CSV files for character name translations.
Otherwise, translations will be saved in the character data file.","启用 CSV 文件进行角色名称翻译。
否则，翻译内容将保存在角色数据文件中。"
Path to the CSV file with the character name translations. It must be inside the CSV translations folder.,Editor -> Settings Panel -> Translation Panel,Path to the CSV file with the character name translations. It must be inside the CSV translations folder.,包含角色名称翻译的 CSV 文件路径。该文件必须位于 CSV 翻译文件夹内。
"Collect the translations from CSV files into Godot so they can be used. You can find the collected translations 
in Project > Project settings > Localization > Translations.",Editor -> Settings Panel -> Translation Panel,"Collect the translations from CSV files into Godot so they can be used. You can find the collected translations 
in Project > Project settings > Localization > Translations.",将CSV文件中的翻译内容收集到 Godot 中以便使用。收集到的翻译可在“项目 > 项目设置 > 本地化 > 翻译”中查看。
Locales Settings,Editor -> Settings Panel -> Translation Panel,Locales Settings,区域设置
Default Locale,Editor -> Settings Panel -> Translation Panel,Default Locale,默认区域
Testing Locale,Editor -> Settings Panel -> Translation Panel,Testing Locale,测试区域
Locales,Editor -> Settings Panel -> Translation Panel,Locales,区域
New +,Editor -> Settings Panel -> Translation Panel,New +,新建 +
Code,Editor -> Settings Panel -> Translation Panel,Code,代码
Language,Editor -> Settings Panel -> Translation Panel,Language,语言
Country,Editor -> Settings Panel -> Translation Panel,Country Code,国家/地区
Add some locales!,Editor -> Settings Panel -> Translation Panel,Add some locales!,添加一些区域设置！
Save Locales,Editor -> Settings Panel -> Translation Panel,Save Locales Code,保存区域设置
Save Locales (*),Editor -> Settings Panel -> Translation Panel,Save Locales (*),保存区域设置 (*)
Set the locales into which the dialogs will be translated.,Editor -> Settings Panel -> Translation Panel,Set the locales into which the dialogs will be translated.,设置对话的目标翻译区域。
Add a new locale.,Editor -> Settings Panel -> Translation Panel,Add a new locale.,添加新区域。
Save the current locales.,Editor -> Settings Panel -> Translation Panel,Save the current locales.,保存当前区域设置。
Please Confirm...,Editor -> Settings Panel -> Translation Panel,Please Confirm...,请确认...
"Some locales have been removed, so their respective texts in the CSV translation files will be removed when saving the dialog files.

Do you want to save the changes anyway?",Editor -> Settings Panel -> Translation Panel,"Some locales have been removed, so their respective texts in the CSV translation files will be removed when saving the dialog files.

Do you want to save the changes anyway?","部分区域已被移除，保存对话文件时，CSV 翻译文件中对应的文本也将被删除。

是否仍要保存更改？"
Save Changes,Editor -> Settings Panel -> Translation Panel,Save Changes,保存更改
Discard Changes,Editor -> Settings Panel -> Translation Panel,Discard Changes,放弃更改
Locale code...,Editor -> Settings Panel -> Translation Panel,Locale code...,区域代码...
Character,Event Node -> Dialogue Node,Character,角色
Portrait,Event Node -> Dialogue Node,Portrait,头像
Dialogue,Event Node -> Dialogue Node,Dialogue,对话
Write text here...,Event Node -> Dialogue Node,Write text here...,在这里输入文本...
Next,Event Node -> Dialogue Node,Next,输出
Translations,Event Node -> Dialogue Node,Translations,翻译
Option,Event Node -> Option Node,Option,选项
Add Option,Event Node -> Option Node,Add Option,添加选项
Autoload,Event Node -> Call Method Node,Autoload,自动加载
Method,Event Node -> Call Method Node,Method,方法
Parameters,Event Node -> Call Method Node,Parameters,参数
Identifier,Event Node -> Signal Node,Identifier,标识符
Arguments,Event Node -> Signal Node,Arguments,参数
Write a name...,Event Node -> Signal Node,Write a name...,输入名称...
Add Element,Event Node -> Signal Node,Add Element,添加元素
Wait Time,Event Node -> Wait Node,Wait Time,等待时间
Close Dialog Box,Event Node -> Wait Node,Close Dialog Box,关闭对话框
"If true, the dialog box will close while waiting.
Otherwise, the dialog box will remain visible while waiting.",Event Node -> Wait Node,"If true, the dialog box will close while waiting.
Otherwise, the dialog box will remain visible while waiting.","如果为真，对话框将在等待期间关闭。
否则，对话框将在等待期间保持可见。"
Write a comment...,Event Node -> Comment Node,Write a comment...,输入注释...